job_index,block_id,route,family,split,evaluation_seed,traffic_manager_seed,arm,order_position,job_id,collision,collision_pedestrian,collision_vehicle,collision_layout,route_completion,driving_score,success,timeout,route_timeout,scenario_timeout,blocked,route_deviation,frame_count,switch_rate,original_flagged_rate,all_unsafe_rate,mechanism_available
1108,block-0369,Base_RightOfWay_0057,RightOfWay_057,Base,2,20057,temporal,2,Base_RightOfWay_0057__s2__temporal,0.0,0.0,0.0,0.0,100.0,74.850854,1.0,0.0,0.0,0.0,0.0,0.0,850,0.2823529411764706,0.32588235294117646,0.04352941176470588,1
1109,block-0369,Base_RightOfWay_0057,RightOfWay_057,Base,2,20057,baseline,3,Base_RightOfWay_0057__s2__baseline,0.0,0.0,0.0,0.0,100.0,74.072612,1.0,0.0,0.0,0.0,0.0,0.0,896,0.0,0.0,0.0,1
1110,block-0370,Base_PedestriansOnRoad_0087,PedestriansOnRoad_087,Base,3,30087,current_frame,1,Base_PedestriansOnRoad_0087__s3__current_frame,1.0,0.0,1.0,0.0,100.0,10.903975,0.0,0.0,0.0,0.0,0.0,0.0,6486,0.029139685476410732,0.8809744064138144,0.6729879740980573,1
1111,block-0370,Base_PedestriansOnRoad_0087,PedestriansOnRoad_087,Base,3,30087,baseline,2,Base_PedestriansOnRoad_0087__s3__baseline,0.0,0.0,0.0,0.0,100.0,71.781083,1.0,0.0,0.0,0.0,0.0,0.0,1011,0.0,0.0,0.0,1
1112,block-0370,Base_PedestriansOnRoad_0087,PedestriansOnRoad_087,Base,3,30087,temporal,3,Base_PedestriansOnRoad_0087__s3__temporal,0.0,0.0,0.0,0.0,100.0,74.27372,1.0,0.0,0.0,0.0,0.0,0.0,964,0.1358921161825726,0.18049792531120332,0.044605809128630707,1
1113,block-0371,Base_RightOfWay_0055,RightOfWay_055,Base,2,20055,baseline,1,Base_RightOfWay_0055__s2__baseline,0.0,0.0,0.0,0.0,100.0,67.985554,1.0,0.0,0.0,0.0,0.0,0.0,975,0.0,0.0,0.0,1
1114,block-0371,Base_RightOfWay_0055,RightOfWay_055,Base,2,20055,temporal,2,Base_RightOfWay_0055__s2__temporal,0.0,0.0,0.0,0.0,100.0,66.282499,1.0,0.0,0.0,0.0,0.0,0.0,1002,0.033932135728542916,0.04790419161676647,0.013972055888223553,1
1115,block-0371,Base_RightOfWay_0055,RightOfWay_055,Base,2,20055,current_frame,3,Base_RightOfWay_0055__s2__current_frame,0.0,0.0,0.0,0.0,100.0,66.621189,1.0,0.0,0.0,0.0,0.0,0.0,1015,0.09655172413793103,0.1832512315270936,0.08669950738916256,1
1116,block-0372,Base_OppositeConstruction_0053,OppositeConstruction_053,Base,2,20053,current_frame,1,Base_OppositeConstruction_0053__s2__current_frame,0.0,0.0,0.0,0.0,100.0,68.472198,1.0,0.0,0.0,0.0,0.0,0.0,1179,0.007633587786259542,0.07039864291772689,0.06276505513146735,1
1117,block-0372,Base_OppositeConstruction_0053,OppositeConstruction_053,Base,2,20053,temporal,2,Base_OppositeConstruction_0053__s2__temporal,0.0,0.0,0.0,0.0,100.0,69.245878,1.0,0.0,0.0,0.0,0.0,0.0,1183,0.00422654268808115,0.027895181741335588,0.023668639053254437,1
