contrast,metric,estimate,ci95_lower,ci95_upper
temporal_vs_baseline,collision,-0.039639639639639644,-0.07734806629834254,-0.0035273368606701977
temporal_vs_baseline,collision_vehicle,-0.016216216216216214,-0.053475935828877004,0.020373215394164864
temporal_vs_baseline,collision_pedestrian,-0.00900900900900901,-0.030965391621129327,0.016216216216216217
temporal_vs_baseline,collision_layout,-0.003603603603603604,-0.026595744680851064,0.01929824561403509
temporal_vs_baseline,route_completion,0.5620000000000003,-0.9222159872579759,2.306728444310275
temporal_vs_baseline,driving_score,2.0712084738738743,0.2634898386860217,3.982014406060606
temporal_vs_baseline,success,0.04144144144144144,0.005347593582887699,0.07885304659498207
temporal_vs_baseline,timeout,-0.02702702702702703,-0.05615942028985508,-0.0017921146953405027
temporal_vs_baseline,route_timeout,-0.014414414414414416,-0.039639639639639644,0.008912655971479501
temporal_vs_baseline,scenario_timeout,-0.02702702702702703,-0.0564373897707231,-0.0017921146953405027
temporal_vs_baseline,blocked,0.0,-0.018214936247723135,0.014492753623188408
temporal_vs_baseline,route_deviation,0.0,-0.005376344086021506,0.005376344086021506
temporal_vs_current_frame,collision,-0.03603603603603604,-0.07446858037164708,6.002020919701587e-19
temporal_vs_current_frame,collision_vehicle,-0.028828828828828822,-0.06227106227106227,0.001782531194295901
temporal_vs_current_frame,collision_pedestrian,-6.00120553851436e-19,-0.02197802197802198,0.02536231884057971
temporal_vs_current_frame,collision_layout,-0.012612612612612614,-0.03208556149732621,0.005494505494505496
temporal_vs_current_frame,route_completion,1.7963783783783787,0.5190478142076503,3.216020372340424
temporal_vs_current_frame,driving_score,2.5198346108108107,0.6763437394038869,4.650467549144336
temporal_vs_current_frame,success,0.03423423423423423,-2.3754504489884106e-18,0.07182586992342713
temporal_vs_current_frame,timeout,-0.023423423423423427,-0.05405405405405406,0.003642987249544627
temporal_vs_current_frame,route_timeout,-0.014414414414414413,-0.03763440860215054,0.0072072072072072065
temporal_vs_current_frame,scenario_timeout,-0.01981981981981982,-0.0499108734402852,0.007168458781362007
temporal_vs_current_frame,blocked,-0.016216216216216214,-0.031135531135531132,-0.0053475935828877
temporal_vs_current_frame,route_deviation,0.0,-0.0072072072072072065,0.0072072072072072065
current_frame_vs_baseline,collision,-0.0036036036036036054,-0.04561837285521497,0.03846153846153845
current_frame_vs_baseline,collision_vehicle,0.01261261261261261,-0.028828828828828833,0.0552584670231729
current_frame_vs_baseline,collision_pedestrian,-0.009009009009009009,-0.02280701754385965,0.0018726591760299621
current_frame_vs_baseline,collision_layout,0.009009009009009009,-0.01058201058201058,0.0285204991087344
current_frame_vs_baseline,route_completion,-1.2343783783783784,-3.04602772057772,0.702759803921568
current_frame_vs_baseline,driving_score,-0.44862613693693676,-2.5056974931737583,1.408303768211526
current_frame_vs_baseline,success,0.007207207207207211,-0.03423423423423424,0.0481283422459893
current_frame_vs_baseline,timeout,-0.0036036036036036054,-0.025641025641025644,0.017730496453900707
current_frame_vs_baseline,route_timeout,-2.400482215405744e-18,-0.027326157449108275,0.025641025641025637
current_frame_vs_baseline,scenario_timeout,-0.007207207207207208,-0.028673835125448032,0.012546498111014095
current_frame_vs_baseline,blocked,0.016216216216216217,0.0035273368606701934,0.03260869565217391
current_frame_vs_baseline,route_deviation,0.0,-0.0072072072072072065,0.0072072072072072065
